Nature	Hp 	Atk	Def	Sp Atk	Sp Def	Speed
Agitated	1	0	0	0	0	1
Ambiguous	0	1	2	0	0	0
Ambitious	0	2	0	0	0	0
Anxious	2	0	2	0	0	0
Average	0	0	0	0	0	0
Bland	0	0	0	2	1	0
Boring	0	0	0	0	0	0
Bossy	0	0	1	2	0	0
Capable	0	1	1	0	0	0
Charming	2	1	0	0	0	0
Cocky	0	0	2	0	1	0
Complex	0	0	1	0	2	0
Conceited	2	0	0	0	0	0
Content	0	0	0	0	0	0
Courageous	0	0	2	1	0	0
Curious	0	1	0	1	0	0
Dishonest	0	0	0	1	2	0
Disrespectful	1	1	0	0	0	0
Eager	0	0	1	1	0	0
Energetic	0	0	0	1	1	0
Ethical	0	0	2	0	0	1
Fragile	0	0	0	2	0	0
Grouchy	0	2	1	0	0	0
Grumpy	1	0	1	0	0	0
Hopeful	0	0	2	0	0	0
Humble	0	0	0	0	0	1
Ignorant	1	0	0	0	0	0
Inferior	0	0	0	0	0	0
Intelligent	0	0	0	2	0	1
Introverted	0	0	1	0	1	0
Jealous	0	1	0	0	1	0
Loving	0	0	0	1	0	1
Loyal	6	0	0	0	0	0
Malicious	0	0	0	0	2	1
Moody	0	0	0	0	1	0
Mysterious	3	0	0	0	0	0
Natural	0	0	0	0	0	0
Noisy	2	0	0	0	2	0
Nonchalant	1	1	0	0	0	1
Obedient	1	0	0	1	0	0
Oblivious	0	0	0	0	1	1
Obnoxious	4	0	0	0	0	0
Optimistic	1	1	1	0	0	0
Paranoid	0	0	0	1	0	0
Patriotic	0	0	1	0	0	1
Pessimistic	0	0	0	0	0	0
Proud	2	0	1	0	0	0
Radiant	1	0	1	0	1	0
Reliable 	0	0	0	0	2	0
Respectful 	0	3	0	0	0	0
Restless 	0	0	0	0	0	3
Self-Centered 	0	0	0	0	3	0
Sensitive 	0	1	0	0	0	1
Serene 	0	0	0	3	0	0
Silly 	0	0	1	0	0	0
Skillful 	0	2	0	0	1	0
Sloppy 	1	0	0	0	1	0
Sneaky 	0	2	0	2	0	0
Stable 	2	0	0	1	0	0
Stingy 	0	0	3	0	0	0
Strange 	2	0	0	0	0	1
Stubborn 	0	2	0	1	0	0
Suave 	1	0	0	1	0	1
Superior 	0	0	2	0	2	0
Unethical 	1	0	0	1	1	0
Unsatisfied 	1	1	0	0	1	0
Unshakable 	2	0	0	0	1	0
Unstable 	0	1	0	0	0	0
Wise	0	2	0	0	0	1
Wishful	0	1	0	0	2	0
Spunky	0	0	0	0	0	2
